video_id,video_title,video_published_at,video_views,video_likes,video_comments
2JDF7p-ofvg,Back in blue this #T20WorldCup 💙🇮🇳 #Cricket #CricketShorts #Ytshorts,2024-04-30T11:34:36Z,874520,29934,266
crUpS21VCyo,Every Hardik Pandya boundary at T20WC 2024,2024-07-17T13:02:48Z,499112,11267,818
FbJq1jpAl8c,The Aussie-Uganda gold 😍 #Cricket #cricketshorts #ytshorts  #t20worldcup,2024-06-02T23:25:37Z,216986,14905,141
XQ4E052zHhw,Yuvraj Singh says Suryakumar Yadav must fire for India at #t20worldcup #cricketshorts #ytshorts 🔥,2024-04-30T05:11:56Z,237950,12505,174
a_4LB121bGQ,Every Hardik Pandya wicket at T20WC 2024,2024-07-14T15:30:01Z,927973,20243,992
9dy7kpALSAE,Every Nicholas Pooran boundary at T20 World Cup 2024,2024-07-15T07:17:57Z,68859,1583,95
mdUjXYSvUHk,Every Wicket of Rishad Hossain at T20WC 2024,2024-07-14T08:09:19Z,590048,26387,1034
MnxF5QWf2_A,Howdy 🤠 #t20worldcup #cricket #ytshorts #cricketshorts,2024-06-03T03:24:21Z,129464,8898,587
30kR8HgcBrs,Every Kuldeep Yadav wicket | T20WC 2024,2024-07-11T08:46:16Z,560494,9712,524
LD4RlAw1n1E,There&#39;s always that one kid in class 😝#Cricketshorts  #T20WorldCup #YTShorts,2024-06-14T15:51:31Z,8565521,347627,1531
Ij4LP6nIAWE,WHATEVER IT TAKES | ICC WOMEN’S T20 WORLD CUP 2024 - OFFICIAL EVENT SONG | W.i.S.H. | Mikey McCleary,2024-09-23T08:58:34Z,87157,4134,518
7V0BfraDMjY,Suresh Raina&#39;s brilliant hundred | T20WC 2010,2024-05-02T10:28:35Z,151150,5070,280
Ho-QYI41P1U,Dale Steyn&#39;s stirring spell stuns New Zealand | T20WC 2014,2024-03-24T13:30:06Z,682556,10942,334
VPlPI31TfL8,Looking sharp in 💙🧡#T20WorldCup #CricketShorts #YTShorts,2024-05-30T10:30:10Z,139709,11180,281
_M0igpVe4-0,A Joe Root special at Wankhede | SA v ENG | T20WC 2016,2024-03-18T14:30:12Z,91890,2960,229
NTY9g2MaPzM,Mitch Marsh 🤝 Chris Gayle! It&#39;s a special connection with the Universe Boss 😎#T20WorldCup #ytshorts,2024-06-01T07:41:51Z,189159,12717,99
PHFySz6fhpE,Returning to action for 🇮🇳 this #T20WorldCup!#Cricket #CricketShorts #ytshorts,2024-04-30T14:00:29Z,1360111,59154,247
FZ-UkwUlgqE,Kagiso Rabada breathing fire 🔥 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-27T01:08:00Z,1629085,61126,527
Im1Q5xdv6LA,David Warner&#39;s first T20 World Cup six went flying 🚀  #cricket #cricketshorts #t20worldcup,2024-02-14T01:57:20Z,160222,10665,36
7S24Yx0dBwk,"Two hat-tricks, one man – Pat Cummins ⭐ #cricket #cricketshorts #ytshorts #t20worldcup",2024-06-23T03:01:25Z,1796119,79448,467
XIkZPkHjCOY,Every Rashid Khan wicket at T20WC 2024,2024-07-13T15:30:10Z,270215,4780,277
MRdbyLmlufU,Every Anrich Nortje wicket at T20WC 2024,2024-07-11T17:30:34Z,54856,1073,153
EriPq6Ut2tc,Sri Lanka start their #T20WorldCup preparation in 🇺🇸! #Cricketshorts #ytshorts,2024-05-27T12:50:10Z,217242,15317,355
e3rcBT0WWlY,Every Rahmanullah Gurbaz boundary | T20WC 2024,2024-07-11T10:30:13Z,114088,2789,211
kf6VxPc5m60,Inside the mind of Yuvraj Singh: The legend behind famous six sixes | T20WC 2007,2024-06-26T16:08:05Z,1772110,37016,1488
FSfgoIfqy8w,MS Dismissals: Every Dhoni dismissal | T20 World Cup,2024-05-16T01:51:32Z,797913,33476,1133
qmq3mz7nyrk,⚾ Baseball fan looking forward to the #T20WorldCup?Jomboy’s cricket guide has you covered!,2024-06-01T00:35:03Z,142450,5390,663
igb7gRYhNlg,Every Rashid Khan T20 World Cup wicket so far,2024-04-11T02:35:25Z,398489,6686,321
gl1nn9w_8zk,"Rizwan, Babar re-write history with an iconic partnership | IND v PAK | T20WC 2021",2024-05-09T06:30:20Z,1343255,37159,4193
7rCb21WHJ3M,Inspirational words for USA from Curtly Ambrose 🙌 #cricket #crickethshorts #ytshorts #t20worldcup,2024-06-20T02:45:00Z,1817639,59196,462
BHvvrv4AUFk,Jasprit Bumrah loves bowling to Mohammad Rizwan 💥 #cricket #t20worldcup #ytshorts #cricketshorts,2024-06-10T04:42:59Z,12136687,481517,2779
29q_0d_1DBk,Every Umar Gul wicket | T20 World Cup,2024-05-18T07:58:40Z,252841,8154,527
D-EpMhhz7LY,Every Wanindu Hasaranga wicket in T20 World Cups,2024-05-12T09:30:03Z,256625,7425,632
HGlyrSEN95E,Behind the scenes of India&#39;s media day | WT20WC 2024,2024-09-29T13:30:11Z,33343,1138,89
ZfPbOdxVYgc,ICC Men’s T20 World Cup Trophy Tour 2024 wraps up in the USA,2024-04-10T14:07:46Z,127108,4047,378
VjTfEK2JdLw,Usain Bolt unveiled as an ambassador for the ICC Men&#39;s #T20WorldCup 2024 ⚡ #cricket #ytshorts,2024-04-24T14:10:35Z,235002,17284,153
v4o0IeFrOwk,Every Jos Buttler T20 World Cup six so far,2024-04-17T00:57:19Z,291226,6984,520
6f4-0m0AgOA,Virat Kohli takes India to the Final | T20 World Cup 2014,2024-04-04T09:16:06Z,182208,6750,566
ILDDwQrPdEM,"Rohit Sharma, smashing sixes and records for fun 😮‍💨#T20WorldCup #AUSvIND  #cricket #ytshorts",2024-06-24T19:21:43Z,1911813,116644,715
4WtvaBghx-c,Chris Gayle tears England apart | ENG v WI | T20WC 2016,2024-05-13T08:47:59Z,891282,13325,460
heYk1vknr7s,Every Andries Gous boundary at T20 World Cup 2024,2024-07-16T04:35:03Z,31037,696,127
6FpLdXX9ANs,These Men’s #T20WorldCup 2024 predictions... no surprises here 😉 #cricket,2024-02-23T14:27:03Z,126280,7057,158
T2iC8XWkLOc,The ball is stuck in Tanzid Hasan&#39;s helmet 👀 #T20WorldCup #BANvNED #YTShorts #CricketShorts,2024-06-13T16:13:02Z,798284,19615,222
kRqFryoNf_I,Bravo and Sammy star with game-changing stand against Pakistan | T20WC 2014,2024-04-01T15:08:48Z,283675,4719,226
U0_-w_XFBYc,India are pumped up for the Super Eights 💪  #cricket #t20worldcup #ytshorts,2024-06-19T16:59:54Z,106330,9328,91
lAKgILzX_cQ,&#39;Whatever it takes&#39; | ICC Women&#39;s T20 World Cup 2024 TVC,2024-09-19T08:48:52Z,64956,990,106
H9-rtoNFeqo,Behind the scenes with Nepal at the media day | T20WC 2024,2024-05-29T08:10:01Z,79417,7574,642
sIO8LCvvncM,USA v Sri Lanka | Match Highlights | Women’s T20WC Qualifier 2024,2024-05-03T19:52:31Z,241981,2270,112
qbbaIBUCBKU,Marcus Stoinis delivers half-century in just 17 deliveries | T20 World Cup,2024-05-20T00:30:41Z,183984,3946,316
nFb1FvubQD4,Every Quinton de Kock boundary at T20WC 2024,2024-07-16T13:39:53Z,61772,1252,134
